Transaction Id,523e0ebe78b7af518357b8dd064a35ba6846ce9bff13c52082386dee885c8659,,,Note,Transaction being made to fund our team
Block,000000000000000000064be1b2d6a3e1dddf52005db6f072660abbac5dfef582,,,,
Block height,782150,,,,
Block date,Thu Mar 23 2023 16:23:42 GMT+0100 (Central European Standard Time),,,,
Confirmed,Yes,,,,
Amount (BTC),0.184224,,,,
Value,Fiat,Date,At tx,,
-,EUR,-,Yes,,
Fee (BTC),0.00004833,,,,
Recipients,,,,,
Address,Blacklisted,Value (BTC),Coinbase,,
18w1iAyQv3nfkucW4UUpHe2U3h5ncq6xxd,No,0.0157,-,,
bc1qjep7m2kyjf5x3xkx2dcczwyknpplrhcqgz5q5h,No,0.168524,-,,
Senders,,,,,
Address,Blacklisted,Value (BTC),Coinbase,,
bc1q4ff6v0rpmuglp6j3sd274l7uyu3psktpvj9fhg,No,0.18427233,-,,
